nome
David Engelbach
Ike Barinholtz
Edward N. Rugoff
Flint Dille
Christopher Yost
Karl Tunberg
Lamar Trotti
David Zelag Goodman
Pat Fielder
Phillip Borsos
Mike Le
Tony Gilroy
John C. Higgins
Jon Spaihts
Stan Lee
Ben Chace
Susan Montford
Anne K. Black
Cory McAbee
Matthew Robbins
Len Blum
David H. Franzoni
Hype Williams
John Brancato
Rakesh Roshan
Pam Brady
James Whittaker
Wisit Sasanatieng
William Broyles
Christian Sesma
Jeffrey Nachmanoff
Roberto Orci
Jonathan Bernstein
Jim Kouf
James McCausland
Greg Francis
Len Deighton
Mike Binder
Pier Paolo Pasolini
Leo Chu
Wilford Leach
W.R. Burnett
Paul Schrader
Guy Stevenson
Lance Mungia
Randall Wallace
Ian Driscoll
Howard McCain
Kevin Munroe
Butcher Brothers
Simon Pegg
Craig Moss
George Armitage
Joshua Sternin
Stirling Silliphant
John Heffernan
Carlos Saldanha
John Patrick Shanley
R.N. Warren
Joel Edgerton
Larry Ferguson
David Feeney
Robert Ludlum
Henry Selick
Clyde Bruckman
Jeff Renfroe
Douglas Petrie
Corey Mandell
Joel Coen
Steve Kloves
Albert Hackett
Ron Shelton
Mark Levin
Josh Appelbaum
Brad Bird
John Fusco
Lukas Heller
Sheldon Lettich
Judd Winick
Jaideep Sahni
Paul Verhoeven
Jack B. Sowards
Jon Kaplan
Michael Brandt
Roselyne Bosch
Jeremy Rawle
Tommy Wirkola
Christopher Murphey
Carol Noble
Norman Katkov
Louis Nowra
Marc Norman
Derek Kolstad
Bob Kane
Ethan Coen
Heath Corson
William Bast
Michael McCullers
Masaya Nakamura
Michael Mann
Don Tait
Anthony Horowitz
Judy Freudberg
Dave Callaham
Sarah Thorp
Don Payne
Darin Scott
Charles Chaplin
Hal Needham
Kevin Droney
Jez Butterworth
Christian Johnson
Damon Wayans
Abem Finkel
Erick Kastel
Daniel Pyne
Jeb Rosebrook
Thomas Szabo
Andrew Niccol
T.S. Nowlin
Julian Halevy
Edmond Wong
Craig Storper
Sion Sono
Tim Chambers
Michael Genet
Leo Benvenuti
Tom Stoppard
Harry Julian Fink
Julia Bacha
Josh Olson
Manny Perez
Nicolas Winding Refn
Yeong-jong Lee
John Francis Daley
Creighton Rothenberger
James Gunn (II)
Jef Geeraerts
William Phillips
Ray Bradbury
Michael S. Ojeda
Derek Haas
David Lee Henry
James Dormer
Gary Scott Thompson
Alan Ormsby
David Twohy
Thomas McGuane
Caspian Tredwell-Owen
Jason Schwartzman
Earl Barret
Gary Ross
Ted Geoghegan
Bill Geddie
Stephen Reynolds
Nai-Hoi Yau
Robert Garland
Hal Hartley
Alain Jakubowicz
Matthew Read
Kieran Mulroney
David Guggenheim
Stig Frode Henriksen
Richard Vetere
Sheila Burnford
Mathieu Kassovitz
James Schamus
Joseph Landon
Zak Penn
Cam Cannon
Ron Clements
Ernest Tidyman
Gregg Araki
Ashmith Kunder
Mark Steven Johnson
Charlie Stratton
Ralph Sall
Zach Golden
Neal Purvis
Alan Schoolcraft
John Singleton
George Seaton
Daniel Lee
John August
Paul Pepperman
Daniel Noah
Dan Hageman
Lowell S. Hawley
Min Byeong-cheon
Monte Merrick
Loring Mandel
Garrett Fort
KIM Soo-young
Martin Amis
James P. Cavanagh
William Monahan
Michael Bacall
Jaime Comas Gil
Taylor Sheridan
Ronald Bass
Robert Dillon
Johnny Carpenter
Eric Bernt
Mark Victor
Jamie Uys
Beirne Lay
Kenneth Branagh
Peter Hyams
John Tainor Foote
Terry Jones
Brian Azzarello
Kevin Smith
David Clark
Gavin Hood
Scott Roberts
Richard Hatem
Preston Sturges
Chris Terrio
Michael De Guzman
Bryce Hammons
Abby Everett Jacques
Fin Edquist
John Gay
Robert Getchell
John Hill
Derek Connolly
Jonathan Herman
David Loughery
David Marconi
Louis Sachar
Terry Gilliam
David J. Schow
Ron J. Friedman
Kubec Glasmon
Jay Wolpert
Scott Stewart
Austin Stark
Ian Le Frenais
Matthew Ward
Don Rhymer
Panos Cosmatos
Kate Lanier
Krzysztof Kieslowski
Ted Perkins
Roger Avary
Nick Cave
Adrien Joyce
Bill Motz
Will Gluck
Joe Camp
Michael Butler
Alan Trustman
Michael Part
Fred Gipson
Tim Metcalfe
John William Corrington
Adam Simon
Steven Lisberger
Jean-Franois Richet
Karey Kirkpatrick
Gregory Nava
Toby Emmerich
Martin Scorsese
David Fallon
Hiromasa Yonebayashi
Mort Abrahams
Eric Abrams
Paul Kimatian
Judy Rothman Rofe
Harry Brown
Kevin Leeson
Craig Mazin
George Lucas
David Collard
Dean Devlin
Judith Rascoe
Richard Collins
Alan Sharp
Jesse V. Johnson
Jane Goldman
Akarsh Khurna
Robert Beaucage
Norman Wexler
Joel Cohen
Don Ingalls
Jonathan Jakubowicz
Blake Masters
John Ridley
Rhett Reese
Kevin Brodbin
Christopher Donaldson
Nader Rizq
Alex Cox
Dave Eggers
Lee Batchler
Christian Swegal
Steve Bencich
Clair Huffaker
Mike Werb
James Dale Robinson
John Osborne
Chris W. Mitchell
Herman Miller
Vijay Krishna Acharya
Gerry Swallow
Michael Finch
Anthony Shaffer
David Newman
Frank Miller (II)
Joe Ballarini
Leigh Brackett
Hing-Ka Chan
Clive Barker
Paul Hogan
Hideaki Anno
Travis Milloy
Philip K. Dick
Laurice Elehwany
John Logan
Adi Hasak
Rick Schroder
David Taylor
Joe Ma Wai Ho
Dave Kennedy
Wendell Mayes
J.D. Dillard
Robert Gosnell
James Edward Grant
Kevin Gates
Martn Salinas
Mike Weber
Alan B. McElroy
Satoko Okudera
Guillermo del Toro
Robert Geoffrion
Jim Thomas
Peter Ivan
Julian Fellows
Lorenzo Semple Jr.
Yeon Sang-ho
Louis L'Amour
Flip Kobler
James Ellroy
Brian Cox (II)
Randy Feldman
lex de la Iglesia
Danny Strong
Chris Soth
Rospo Pallenberg
Kim Henkel
Erich Hoeber
Lola Huo
Dan Gurskis
Robert Bresson
David Ronn
W.A. Burton & Max Jungk
Ron Howard
John Cotter
Drew Pearce
Pete McCormack
William Wisher Jr.
Xiong Zhaozheng
James Mangold
Hilary Winston
Abel Ferrara
Gary M. Devore
Justin Haythe
James Carabatsos
Paul Haggis
Terry Black
Bernard C. Schoenfeld
Frank Tarloff
Simon Moore
Jason Richman
Robert N. Lee
Patrick Hughes
Jean-Claude Van Damme
Jules Feiffer
Brit Marling
Elizabeth Chandler
J. Michael Straczynski
Phoef Sutton
Larry Brothers
Riwia Brown
Claude Binyon
Stephen McFeely
Matt Ember
Julian Fellowes
Michael Arlen Ross
Denis O'Neill
Graham Yost
Carlo Bernard
Felix Herngren
Jon Schroder
Ip Kwong Kim
Werner Herzog
A.J. Lieberman
Dick Cusack
Michael Cimino
Harold Livingston
Maxwell Shane
Michael Palin
Stacy Peralta
Steven Conrad
Francis Veber
Michael Handelman
Jeff Burr
David Michd
Colin McIvor
Omid Nooshin
Bibi Naceri
Wim Wenders
Steven Zaillian
Cory Goodman
Charles Robert Carner
Norman Reilly Raine
Majid Majidi
Jennifer Lee
Auguste Le Breton
Pieter Jan Brugge
Philip Eisner
Ben Wheatley
Joe Stillman
Patrick Melton
Chen Kuo-fu
Patrick Smith Kelly
Casey Robinson
Jim Taihuttu
Dennis Shryack
Christopher Wood
Ralph Bakshi
Jean-Paul Salom
John J. McLaughlin
Marion Fairfax
Akira Toriyama
Daniel Lusko
Peter A. Dowling
Jacques Champreux
Gideon Defoe
Jan Fischer
Nick Marine
Yunus Sajawal
Graham Alborough
David Corley
Peter M. Lenkov
Jonathan Hirschbein
Steve Moore
Hal Barwood
Hachiro Guryu
William Roberts
Guy Elmes
Walon Green
Ronald Lang
Dove Sussman
Ji Feng
Patrick Sheane Duncan
David W. Rintels
Shoichiro Ikemiya
Daisuke Habara
James Vanderbilt
Franck Ekinci
Craig Titley
Eric Pearson
Wuershan
Nat Perrin
Darryl Quarles
Shane Black
David E. Kelley
Lawrence B. Marcus
Patrick Lussier
Byron Keith Minns
Michael McGruther
Shen Jie
Robert Duvall
Adam Moreno
Adam Alleca
John Cassavetes
Gary McKendry
Robert Mark Kamen
Susan Shadburne
Josef von Sternberg
Chris Butler
Erich Segal
Trevor Laurence
Miles Chapman
Chad Faust
Harold Ramis
Nils Gaup
Erik Matti
Paul Jan Nelissen
Michael Mayer (VI)
Arkadiy Strugatskiy
Joe Forte
Eric Assous
Scott Rosenberg
Stephen Schiff
Rick Jacobson
Harold Jack Bloom
Robert Reneau
Joel Zadak
Chip Johannessen
Shuki Levy
Jackie Chan
David Aaron Cohen
Scott Leberecht
Eric J. Hughes
Gregory J. Bradley
Susannah Grant
Mark Peploe
Paul Apak Angilirq
Johnny Crawford
John Mattson
Jim Reardon
Jamie Nash
Craig Mitchell
Matt Cook
James Glickenhaus
Keenen Ivory Wayans
Peter Barnes
Nancy L. Babine
Carl Strathie
Adam Marcus
