attore,film,anno
Shepard Fairey,Exit Through The Gift Shop,2010
Max Minghella,Agora,2010
Dina Shihabi,Amira & Sam,2015
Isabel Lucas,That Sugar Film,2015
Greta Gerwig,No Strings Attached,2011
Betty Field,Picnic,1955
James Cosmo,Stormy Monday,1988
Dean Selmier,La Novia Ensangrentada (The Blood Spattered Bride) (Blood Castle),1972
Glenn Corbett,Homicidal,1961
Karen Balkin,The Children's Hour,1961
Elizabeth Berkley,S. Darko: A Donnie Darko Tale,2009
Leen Dervaux,L'Iceberg,2005
Edmond O'Brien,White Heat,1949
Cuba Gooding Jr.,Norbit,2007
Roger Rees,Garfield: A Tail of Two Kitties,2006
Polly Bergen,Cry-Baby,1990
David Huddleston,Santa Claus: The Movie,1985
Myrna Loy,The Bachelor and the Bobby-Soxer,1947
Mike Schank,American Movie,1999
Peter Gerety,Went to Coney Island on a Mission From God...Be Back by Five,1998
Denzel Washington,Devil in a Blue Dress,1995
Famke Janssen,All I Wish (A Little Something for Your Birthday),2018
Fred Ward,Thunderheart,1992
Jeffrey Broadhurst,Gypsy,1993
Lauren Bittner,Paranormal Activity 3,2011
Christoph Waltz,Spectre,2015
Genevive Laroche,Whitewash,2014
Keegan-Michael Key,Why Him?,2016
Amy Ingersoll,Knightriders,1981
Anne Heche,"Six Days, Seven Nights",1998
Shin Jung-keun,A Hard Day,2015
Fab 5 Freddy,Wild Style,2013
Bruce Bennett,Dark Passage,1947
Anthony Therrien,1:54,2018
June Squibb,Table 19,2017
James Stewart,The Shootist,1976
Stephen Fry,House Of Boys,2011
Jill Larson,The Living Wake,2010
Timothy Spall,Mr. Turner,2014
Taissa Farmiga,Teen Titans: The Judas Contract,2017
Dwight Frye,The Vampire Bat (Blood Sucker) (Forced to Sin),1933
Sharon Bruneau,Smokin' Aces,2007
Royal Dano,Electra Glide in Blue,1973
Ken Scott,Fantastic Voyage,1966
Anil Kapoor,Tashan,2008
Daria Nicolodi,Inferno,1980
Dennis Boutsikaris,The Dream Team,1989
William Jackson Harper,They Remain,2018
Tully Banta-Cain,By The Gun,2014
Scott Speedman,The Captive,2014
William Zappa,Bootmen,2000
Marife Necesito,Mammoth (Mammut),2009
Skeet Ulrich,The Craft,1996
Patricia Clarkson,Dogville,2003
Brad Renfro,Tom and Huck,1995
Charlie Korsmo,What About Bob?,1991
Kate Dickie,Outcast,2010
Marlene Dietrich,Paris When It Sizzles,1964
Biana Tamimi,The Young Black Stallion,2003
Alba Rohrwacher,Giorni e Nuvole (Days and Clouds),2007
James Bartz,Dead Night,2018
Rutger Hauer,The Osterman Weekend,1983
James,Union Square,2004
Jenny Pellicer,Puppet Master: The Littlest Reich,2018
Herbert Lom,Mysterious Island,1961
Nat Wolff,Stuck in Love,2013
Robert Culp,National Lampoon's Movie Madness,1982
David Giancola,Addicted To Fame,2012
Fiona Shaw,Mountains of the Moon,1990
Katherine Heigl,27 Dresses,2008
Norman Lloyd,Magician: The Astonishing Life and Work of Orson Welles,2014
Tony Denman,Sorority Boys,2002
Kiefer Sutherland,A Few Good Men,1992
Takahiro Miura,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),2015
Esmerelda Ouertani,The Class,2008
Doris Belack,Arranged,2007
Bobbie Ross,Assaulted: CIVIL Rights Under Fire,2013
Philip Carey,Pushover,1954
Frankie Valli,And So It Goes,2014
Maggie Grace,Taken,2009
Dwain Murphy,How She Move,2008
Taraji P. Henson,No Good Deed,2014
Dabney Coleman,Amos & Andrew,1993
Jennifer Lawrence,House at the End of the Street,2012
Madeleine Stowe,Impostor,2002
Teresa Wojtowicz,The Dog,2014
Quentin Tarantino,POM Wonderful Presents: The Greatest Movie Ever Sold,2011
Robert Morley,Hot Millions,1968
Kate McNeil,Monkey Shines: An Experiment in Fear,1988
Kevin Pollak,Outside Ozona,1999
Jamel Qassas,Disturbing The Peace,2016
Rachel David,Shiloh 2: Shiloh Season,1999
William Sadler,The Hills Run Red,2009
Dick Powell,Footlight Parade,1933
Ian McShane,Jack the Giant Slayer,2013
Rosario Dawson,Seven Pounds,2008
Bill Nunn,Firehouse Dog,2007
Patricia Arquette,Human Nature,2002
Al Jolson,The Jazz Singer,1927
Mickey Rooney,Babe: Pig in the City,1998
Louis Fan,Riki-Oh: The Story of Ricky,2002
Tichina Arnold,Little Shop of Horrors,1986
Ryan Kwanten,Supercon,2018
Shaista Latif,The Breadwinner,2017
Duane Martin,Above the Rim,1994
Sam Waterston,Hopscotch,1980
Elliott Reid,The Absent-Minded Professor,1961
Rosario Dawson,Unforgettable,2017
Adam Neal Smith,Ciao,2008
Bob Bower,The Real Dirt on Farmer John,2007
Christopher Fulford,Millions,2005
Paul Dano,For Ellen,2012
Ryan Reynolds,The In-Laws,2003
Elijah Wood,The Lord of the Rings: The Two Towers,2002
Martin Wuttke,Die Stille nach dem Schu (The Legend of Rita) (The Legends of Rita),2000
Alan North,Lean on Me,1989
Nicole Muoz,Pyewacket,2018
Ryan Donawho,Bandslam,2009
Michael Beach,Things Never Said,2013
Edward Norton,Isle of Dogs,2018
Jenny McCarthy,Dirty Love,2005
Tom Hollander,Lawless Heart,2002
Rik Mayall,Drop Dead Fred,1991
Tenzin Chokyi Gyatso,Monk With a Camera,2014
Nancy Kwan,The World of Suzie Wong,1960
Alec Guinness,The Horse's Mouth,1958
Harvey Keitel,A Beginner's Guide To Endings,2010
Lea Thompson,Adventures of a Teenage Dragonslayer,2010
Lauren Storm,I Love You Beth Cooper,2009
