movie,movie_studio
GoldenEye,MGM/UA
Walking Out,IFC Films
Nancy Drew,Warner Bros. Pictures
U.S. Marshals,Warner Bros. Pictures
Josh and S.A.M.,Sony Pictures Home Entertainment
Reprisal,Lionsgate
The Legend of Drunken Master (Jui kuen II) (Drunken Fist II),Dimension Films
Krrish,Adlabs Films
Megaforce,20th Century Fox Film Corporation
Hell Is for Heroes,Paramount Pictures
Heavy Metal ,Sony Pictures Home Entertainment
Duma,Warner Bros. Pictures
211,Momentum Pictures
Sammy's Adventures 2 (Sammy's avonturen 2),Studio Canal
Hardware,Millimeter Films
Bat 21,Media Home Entertainment
A Bridge Too Far,United Artists
Panic in Year Zero! (End of the World),Orion Home Video
White Lightning,United Artists
The Longest Yard,Paramount Home Video
The Last Stand,Lionsgate Films
Days of Thunder,Paramount Home Video
Midnight Run,MCA Universal Home Video
Vikingdom,Epic Pictures Releasing
The Thin Red Line,20th Century Fox
The Ice Harvest,Focus Features
Crank 2: High Voltage,Lionsgate
The Jewel of the Nile,Twentieth Century Fox Home Entertainment
Terminator 3 - Rise of the Machines,Warner Bros. Pictures
Sukai Kurora (The Sky Crawlers),Sony Pictures Home Entertainment
The Final Destination,Warner Bros. Pictures
Oldboy,FilmDistrict
The Prisoner of Zenda,United Artists
Camelot,Warner Home Video
Kill Command,Vertigo Films
Space Chimps,20th Century Fox
Things to Come,United Artists
Sucker Punch,IMAX
The House on Carroll Street,HBO Video
Solo: A Star Wars Story,Walt Disney Pictures
Adventures of a Teenage Dragonslayer,Razor Sharp Productions
K-19: The Widowmaker,Paramount Pictures
xXx: Return of Xander Cage,Paramount Pictures
Vazante,Music Box Films
River of No Return,20th Century Fox
Wendigo,Magnolia Pictures
Wolf Warrior II,Well Go USA Entertainment
The Time Machine,MGM Home Entertainment
Ultraviolet,Sony Pictures
Thunderball,United Artists
The Last Starfighter,Universal Pictures
Appaloosa,Warner Bros. Pictures
Flyboys,MGM
Predator 2,Twentieth Century Fox Home Entertainment
Beyond the Gates,Destroy All Entertainment
"The Godfather, Part III",Paramount Pictures
Wichita,Allied Artists Pictures Co.
The Mask,New Line Cinema
Demetrius and the Gladiators,Fox
Fatal Beauty,MGM Home Entertainment
The Public Eye,MCA Universal Home Video
Stuart Little,Columbia Pictures
Rambo III,Live Home Video
Taken 3,20th Century Fox
Black Hawk Down,Sony Pictures
Frantic,Warner Home Video
The Mountain Men,Sony Pictures Home Entertainment
American Outlaws,Warner Bros.
Big Bad Mama,New World
The Thin Man Goes Home,MGM (Metro-Goldwyn-Mayer)
Spider-Man 2,Sony Pictures
Year of the Dragon,MGM Home Entertainment
Ocean's 8,Warner Bros. Pictures
The Long Riders,MGM Home Entertainment
A Rage in Harlem,HBO Video
Beyond the Edge,IFC Films
Resident Evil: The Final Chapter,Sony Pictures
"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies)",Music Box Films
"10,000 B.C.",Warner Bros. Pictures
Iron Monkey,Dimension Films
The Snow Walker,First Look Media
Legendary,Samuel Goldwyn Films
Lord of the Flies,Nelson Entertainment
Accident Man,Six Demon Films
Wanted,Universal Pictures
Jason Bourne,Universal
Darkman III: Die Darkman Die,MGM Home Entertainment
Rocky II,United Artists
Journey to the Center of the Earth,Warner Bros. Pictures
Pompeii,Sony Pictures
Spectre,Sony Pictures
A Town Called Panic (Panique au village),Zeitgeist Films
Trapeze,Hill-Hecht-Lancaster Productions
Life of Pi,20th Century Fox
Ocean's Twelve,Warner Bros. Pictures
The African Queen,Twentieth Century Fox Home Entertainment
Contract Killer,Sony Pictures Home Entertainment
Violet & Daisy,Cinedigm Films
Mighty Joe Young,RKO Radio Pictures Inc.
Firefox,Warner Bros. Pictures
Coco,Disney/Pixar
Batman Beyond: Return of the Joker,Warner Home Video
Gunmen,Live Home Video
The Boys from Brazil,20th Century Fox Film Corporation
Baywatch,Paramount Pictures
Pirates of the Caribbean: The Curse of the Black Pearl,Buena Vista Pictures
The Big Bounce,Warner Bros. Pictures
Pirates of the Caribbean: On Stranger Tides,Walt Disney Pictures
Born Losers,American International Pictures
Aspen Extreme,Buena Vista
The Plague Dogs,Nepenthe Productions
Ant-Man,Disney/Marvel
Apollo 13,Universal Pictures
Assault On Wall Street,Phase 4 Films
Only Angels Have Wings,Sony Pictures Entertainment
Batman & Mr. Freeze: Subzero,WARNER BROTHERS PICTURES
Superman: Doomsday,Warner Home Video
Epic Movie,20th Century Fox
Miss Congeniality,Warner Bros. Pictures
In a Valley of Violence,Blumhouse Productions
Halls of Montezuma,Fox
The Big Brawl (Battle Creek Brawl),Golden Harvest Company
Heat,Paramount Pictures
Time and Tide (Shun liu Ni liu),TriStar Pictures
The Dead Lands,Magnet Releasing
Dragnet,MCA Universal Home Video
Operation: Endgame,Anchor Bay Entertainment
Lassie Come Home,MGM
Platoon,Orion Pictures
The Great Train Robbery,MGM
The American Astronaut,Artistic License Films
Up,Walt Disney Pictures
The Four Feathers,Criterion Collection
Felon,Sony Pictures Entertainment
The Road to El Dorado,Dreamworks
Class of 1999,Fangoria
The Adventures of Huck Finn,Disney
Freebie and the Bean,Warner Bros. Pictures
Atomic Blonde,Focus Features
Anaconda,Sony Pictures Home Entertainment
A Night to Remember,Criterion Collection
Non-Stop,Universal Pictures
King Arthur: Legend Of The Sword,Warner Bros. Pictures
Donovan's Reef,Paramount Pictures
It's the Rage,Sony Pictures Home Entertainment
Black Sunday,Anchor Bay Entertainment
White Fang (Croc-Blanc),Netflix
Under Siege,Warner Home Video
Tracker,Kaleidoscope
Gangster's Paradise: Jerusalema,Anchor Bay Films
Jupiter Ascending,Warner Bros. Pictures
The Final Countdown,Live Home Video
The Finest Hours,Walt Disney Pictures
Pink Cadillac,Warner Home Video
Sleepless,Open Road Films
Fireball (Muay Thai Dunk),Grindstone Entertainment
Renaissance,Miramax
Blue Steel,MGM Home Entertainment
Death Wish II,Warner Home Video
