movie,movie_studio
The Big Chill,Columbia Pictures
Simon Birch,Buena Vista
Movie 43,Relativity Media
Problem Child 2,MCA Universal Home Video
Miami Rhapsody,Hollywood Pictures
Revenge of the Nerds II: Nerds in Paradise,Twentieth Century Fox Home Entertainment
You Again,Touchstone Pictures
Gaudi Afternoon,First Look
Kingdom Come,Fox Searchlight Pictures
The Week Of,Netflix
Think Like a Man,Sony Screen Gems
Mamma Mia! Here We Go Again,Universal Pictures
Last Weekend,IFC Films
2 Days in New York,Magnolia Pictures
"Definitely, Maybe",Universal Pictures
Adaptation,Columbia Pictures
Beauty Shop,MGM/UA
Eating Out: All You Can Eat,Ariztical Entertainment
The Flintstones in Viva Rock Vegas,Universal Pictures
The Immaculate Conception of Little Dizzle,Visit Films
Terms And Conditions May Apply,Variance Films
How Sweet It Is,E-T Pictures
Kit Kittredge: An American Girl,Picturehouse
Deck the Halls,20th Century Fox
Looking for Comedy in the Muslim World,Warner Bros.
21 And Over,Relativity Media
Girls Trip,Universal Pictures
How Stella Got Her Groove Back,20th Century Fox
Cupcakes,Strand Releasing
Seven Psychopaths,CBS Films
Dance with Me,Sony Pictures
Hexed,Sony Pictures Home Entertainment
This Is Spinal Tap,MGM
Larry the Cable Guy: Health Inspector,Lions Gate Films
The Funhouse Massacre,Petri Entertainment
Sunday in New York,Warner Home Video
Bridget Jones: The Edge of Reason,Miramax Films
Sun Choke,Xlrator Media
"Fear, Inc.",Lone Suspect
Deuce Bigalow: European Gigolo,Sony
Zombie Strippers,Triumph Films
Without a Clue,Orion Home Video
Grease 2,Paramount Home Video
The Confirmation,"Lighthouse Pictures, Inc."
Armed and Dangerous,Sony Pictures Home Entertainment
The Full Monty,Twentieth Century Fox Home Entertainment
Wishful Thinking,Miramax
The Family Stone,20th Century Fox Distribution
Under the Bed,Xlrator Media
No se aceptan devoluciones (Instructions Not Included),Lionsgate Films
Swimming with Sharks,Trimark
Easy,Magic Lamp Releasing
Johnny English Reborn,Universal Pictures
Madea's Family Reunion,Lionsgate
Mascots,Netflix
The Paper,MCA Universal Home Video
Rich and Famous,MGM Home Entertainment
Short Circuit 2,Sony Pictures Home Entertainment
A Brony Tale,Abramorama Entertainment
Barry Munday,Magnolia Pictures
Richard Pryor---Live in Concert,Compact Video Systems Inc.
Going the Distance,New Line Cinema
The Baxter,IFC Films
Waitress,Fox Searchlight Pictures
The Big Kahuna,Lions Gate Films
With Friends Like These,New Line Home Entertainment
Bernard and Huey,Freestyle Digital Media
I.Q.,Paramount Home Video
When a Man Loves a Woman,Touchstone Pictures
That's My Boy,Sony Pictures
Super Troopers,Fox Searchlight
No Reservations,Warner Bros. Pictures
Eating Out,Ariztical Entertainment
Celeste and Jesse Forever,Sony Pictures Classics
Kiss the Water,Virgil Films
Daddy's Little Girls,Lionsgate Films
Max Dugan Returns,Fox
Buffalo Soldiers,Miramax Films
The Ringer,Fox Searchlight Pictures
Oscar,Touchstone Pictures
The Trouble with Romance,WARNER BROTHERS PICTURES
Perfume,LionsGate Entertainment
Bait,Warner Bros. Pictures
Nanny McPhee,Universal Pictures
Hey Hey It's Esther Blueburger,Monterey Media
Littlerock,Variance Films
The Perfect Man,Universal Pictures
Dealing With Idiots,IFC Films
Nativity 2,Inception Media Group
Blackbeard's Ghost,Walt Disney Productions
Amateur Night,Punch Media
Blades of Glory,Paramount Pictures
Big Ass Spider!,Epic Pictures Releasing
Don Jon,Relativity Media
Isn't She Great,Universal Studios Home Video
The Auteur,FilmBuff
Sympathy for Delicious,Maya Entertainment
6 Month Rule,Abramorama
Held Up,Trimark
Arizona Dream,WARNER BROTHERS PICTURES
Almost Famous,DreamWorks SKG
Empire Records,Warner Home Video
Leonard Part 6,Sony Pictures Home Entertainment
Zero Charisma,Tribeca Film
Bringing Down the House,Touchstone Pictures
Airplane 2 - The Sequel,Paramount Home Video
Free Samples,STARZ MEDIA LLC.
Once Bitten,Live Home Video
The Guilt Trip,Paramount Pictures
Red Dog,Arc Entertainment
MVP: Most Valuable Primate,Keystone Pictures
"Elvira, Mistress of the Dark",New World Video
Forbidden World (Mutant),New World Pictures
Kazaam,Touchstone Pictures
Le Divorce,20th Century Fox Film
Mr. Destiny,Touchstone Pictures
The Hippopotamus,Lightyear Entertainment
Larger Than Life,MGM Home Entertainment
Bickford Shmeckler's Cool Ideas,Vulcan Productions
Trainwreck,Universal Pictures
"House (Ding Dong, You're Dead)",New World Video
Girlfriends,Warner Bros.
Short Circuit,Twentieth Century Fox Home Entertainment
In Her Shoes,20th Century Fox
The Grass Harp,New Line Home Entertainment
Harvard Man,Cowboy Pictures
Rent,Sony Pictures
The Muse,October Films
Very Bad Things,PolyGram
Sleepless Night,Tribeca Films
The Final Member,Alamo Drafthouse Films
Diggers,Magnolia Pictures
The Package,Netflix
Luck by Chance,Adlabs Films
Human Traffic,Miramax Films
Death at a Funeral,Sony Pictures
The Wackness,Sony Pictures Classics
A Good Year,20th Century Fox
Adventures in Babysitting,Touchstone Pictures
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde,MCA/Universal Pictures
Entropy,Screen Media
Wag the Dog,New Line Cinema
License to Drive,Twentieth Century Fox Home Entertainment
Hotel de Love,Warner Elektra Atlantic
Rebound,20th Century Fox
Garden State,Fox Searchlight
New York City Serenade,Anchor Bay Entertainment
Believe Me,Gravitas Ventures
The End,United Artists
Dysfunktional Family,Miramax Films
Frank,Magnolia Pictures
"Me, Myself & Irene",20th Century Fox
I'll See You in My Dreams,Bleecker Street
Beerfest,Warner Bros. Pictures
Bend It like Beckham,Fox Searchlight Pictures
A Christmas Story,MGM
Casper: A Spirited Beginning,Twentieth Century Fox Home Entertainment
A Beginner's Guide To Endings,Entertainment One
The Pill,Shoot First Entertainment
Reno 911!: Miami,20th Century Fox
Grand Theft Parsons,Redbus Film Distribution
The Walking Deceased,Arc Entertainment
Girl In Progress,Lionsgate/Pantelion Films
Best in Show,Warner Bros. Pictures
How To Be Single,Warner Bros. Pictures
Two Night Stand,E One Entertainment
Noises Off,Buena Vista Pictures
Josie and the Pussycats,Universal Pictures
InAPPropriate Comedy,Freestyle Releasing
East Is East,Miramax Films
National Lampoon's Movie Madness,MGM
That Uncertain Feeling,United Artists
City Slickers,Columbia Pictures
Welcome to the Sticks,Christal Films
National Lampoon's Gold Diggers,MGM Home Entertainment
Family Weekend,Arc Entertainment
Strange Invaders,EMI Productions
Rumor Has It,Warner Bros. Pictures
The Truth About Cats & Dogs,Twentieth Century Fox Home Entertainment
Boy,Unison Films
What a Girl Wants,Warner Bros. Pictures
Bottle Shock,Freestyle Releasing
The Purple Rose of Cairo,Orion Pictures Corporation
Heartbeeps,Universal Studios
Excuse Me for Living,Dada Films
Mansfield Park,Miramax
A Four Letter Word,Embrem Entertainment
A Bucket of Blood,American Pop
Cherish,Fine Line Features
Chasing Amy,Miramax Films
Dirty Love,First Look
Traveller,Evergreen
The Pallbearer,Miramax
The Theory of Flight,Fine Line Features
Dunston Checks In,Twentieth Century Fox Home Entertainment
Religulous,Lionsgate Films
Black Sheep,IFC Films
Best Night Ever,The Safran Company
Napoleon Dynamite,Fox Searchlight Pictures
Wonder Boys,Paramount Pictures
Wanderlust,Universal Pictures
Murder Party,Lab of Madness
Can't Hardly Wait,Columbia Pictures
Soul Food,20th Century Fox
Nativity!,Freestyle Digital Media
Church Ball,Halestorm Entertainment
American Animal,Screen Media Films
Bride Wars,20th Century Fox
The Tiger's Tail,Buena Vista
Office Space,20th Century Fox
Conan O'Brien Can't Stop,Abramorama
Motherland,Vanguard Cinema
Billy Madison,MCA Universal Home Video
Get Out,Universal Pictures
A Midsummer Night's Sex Comedy,Warner Bros.
He's Just Not That Into You,Warner Bros. Pictures/New Line Cinema
Getting Even With Dad,MGM Home Entertainment
Down With Love,20th Century Fox
I Went Down,Artisan Films
Everybody Wants Some!!,Paramount Pictures
Anywhere but Here,Twentieth Century Fox Home Entertainment
The Simian Line,Gabriel Film Group
Little Fockers,Universal Pictures
Jerry Maguire,TriStar Pictures
Paradise,RLJ Entertainment/Image Entertainment
Sierra Burgess Is a Loser,Netflix
The Family That Preys,Lionsgate
Happiness,Trimark Pictures
Semi-Pro,New Line Cinema
From Prada to Nada,Lionsgate Films
This is 40,Universal Studios
This Beautiful Fantastic,AMBI Distribution
The Jimmy Show,First Look
Four Rooms,Miramax Films
Class Act,Warner Home Video
Jim Gaffigan: Noble Ape,Comedy Dynamics
Burnt,The Weinstein Company
No Such Thing,United Artists Films/ MGM
Strange Wilderness,Paramount Classics
Deidra & Laney Rob a Train,Netflix
The Intervention,Burn Later Productions
The Apple Dumpling Gang,Buena Vista
Murder by Death,Sony Pictures Entertainment
Teeth,Roadside Attractions
Another Happy Day,Phase 4 Films
Roseanne for President!,Sundance Selects
The Great Beauty,Janus Films
Magic Mike,Warner Bros. Pictures
Only When I Laugh,Sony Pictures Entertainment
"Dancer, Texas Pop. 81",Sony Pictures Entertainment
Postcards from the Edge,Columbia Pictures Corporation
The Santa Clause 2,Buena Vista Pictures
The Dream Team,MCA Universal Home Video
Another Gay Sequel: Gays Gone Wild!,TLA Releasing
Girls Town,Hallmark Entertainment
Brooklyn Lobster,Meadowbrook Pictures
The Witches of Eastwick,Warner Home Video
Cookie,Warner Home Video
Life or Something Like It,20th Century Fox
"Oh, God! You Devil",WARNER BROTHERS PICTURES
About Schmidt,New Line Cinema
Bitch,Dark Sky Films
Legally Blonde,MGM
Behaving Badly,Vertical Entertainment
Fear and Loathing in Las Vegas,Universal Pictures
Man of the Century,Sun-Telegram Pictures
Nickelodeon,Sony Pictures Entertainment
HairBrained,Vertical Entertainment
Vamps,Anchor Bay Entertainment
Rainbow Time,Duplass Brothers
Charlie and the Chocolate Factory,Warner Bros. Pictures
I'll Be Home for Christmas,Buena Vista Pictures
Lou Reed's Berlin,The Weinstein Co.
Battle of the Sexes,Fox Searchlight Pictures
Rhymes For Young Ghouls,Monterey Media
The Wonderful Ice Cream Suit,Walt Disney Productions
A Thousand Words,Paramount Pictures
Bachelorette,Radius-TWC
Dracula - Dead and Loving It,WARNER BROTHERS PICTURES
The Hot Flashes,Vertical Entertainment
Junior,MCA Universal Home Video
Bucky Larson: Born to Be a Star,Sony Pictures
Beside Still Waters,Tribeca Film
Historias mnimas (Intimate Stories),New Yorker
Hiding Out,HBO Video
Moonlight and Valentino,PolyGram Video
Hot Tub Time Machine,MGM
Mr. Wrong,Mandeville Films
Pitch Perfect,Universal Studios
Wild Tales,Sony Pictures Classics
Calendar Girl,Sony Pictures Home Entertainment
Ice Princess,Buena Vista Pictures
Lucky Numbers,Paramount Pictures
Alex & Emma,Warner Bros.
Just Wright,20th Century Fox
People Like Us,Dreamworks Pictures
The Proposal,Walt Disney Pictures
The Wedding Party,Grand Entertainment
Just Like Heaven,Dreamworks
How to Lose a Guy in 10 Days,Paramount Pictures
Canadian Bacon,MGM Home Entertainment
The Bad News Bears in Breaking Training,Paramount Pictures
Picture Perfect,Twentieth Century Fox Home Entertainment
High Spirits,Media Home Entertainment
It's Alive III: Island of the Alive,Warner Home Video
Bob Funk,Barholtz Entertainment
Love and Other Disasters,Image Entertainment
Richie Rich,Warner Home Video
Proof,Fine Line Features
Risky Business,Warner Bros.
20th Century Women,A24 Films
Tim and Eric's Billion Dollar Movie,Magnolia Pictures
Focus,Warner Bros. Pictures
Eighth Grade,A24
Stranger Than Fiction,Sony Pictures
The Big Year,20th Century Fox
What Boys Like,Visionbox Pictures
Gigantic,First Independent Pictures
Women in Trouble,Screen Media Films
Most Likely to Murder,Lionsgate
Christmas With the Kranks,Sony Pictures
Love Potion No. 9,Twentieth Century Fox Home Entertainment
Love and Other Drugs,20th Century Fox
Notting Hill,Universal Pictures
Coneheads,Paramount Vantage
Young Einstein,Warner Home Video
Dr. Dolittle,20th Century Fox
The Van,Fox
The Sessions,Fox Searchlight Pictures
Some Freaks,Good Deed Entertainment
Someone to Love,International Rainbow Pictures
Slow Learners,IFC Films
The Good Night,Yari Film Group
Private Lives,Warner Bros.
Pitch Perfect 2,Universal Pictures
Bottle Rocket,Columbia Pictures
Slash,Arts + Labor
An American Carol,Vivendi Entertainment
Cold Weather,IFC Films
My Big Fat Greek Wedding,IFC Films
Loco Love,Pathfinder Pictures
Birdman,Fox Searchlight
Letters to Juliet,Summit Entertainment
Lovewrecked,Media 8 Entertainment
Speed-Dating,Rockstone Releasing
Stand Up Guys,Lionsgate
Identity Thief,Universal Pictures
So I Married an Axe Murderer,TriStar Pictures
Chef,Open Road Films
Fierce Creatures,MCA Universal Home Video
Troop Beverly Hills,Weintraub Entertainment Group
The Flying Deuces,Legend Films
Beware the Gonzo,Tribecca Films
Peter's Friends,HBO Video
The Man with One Red Shoe,Twentieth Century Fox Home Entertainment
Pee-wee's Big Adventure,Warner Home Video
Novocaine,Artisan Entertainment
Home Alone 2: Lost in New York,20th Century Fox
Catching Feelings,Netflix
Back to the Future Part II,Universal Pictures
Lazy Eye,T42 Entertainment
"Enemies, a Love Story",Media Home Entertainment
The Lizzie McGuire Movie,Walt Disney Pictures
I'll Do Anything,Sony Pictures Home Entertainment
Wholly Moses!,Sony Pictures Entertainment
Passionada,Samuel Goldwyn Films
The Missing Person,Strand Releasing
Desperately Seeking Susan,MGM Home Entertainment
Melvin Goes to Dinner,Sundance Channel Home Entertainment
Blended,Warner Bros. Pictures
Straight Talk,Hollywood Pictures
I Love You to Death,Sony Pictures Home Entertainment
The Big Hangover,WARNER BROTHERS PICTURES
Blackballed: The Bobby Dukes Story,Shout! Factory
Analyze This,Warner Bros. Pictures
My Favorite Blonde,Universal Studios Home Video
Date And Switch,Film Arcade
Super Troopers 2,Fox Searchlight Pictures
Is Anybody There?,Big Beach Films
Ted,Universal Pictures
One for the Money,Lionsgate Films
Up the Academy,WARNER BROTHERS PICTURES
The Wedding Date,Universal Pictures
Choke,Fox Searchlight
The Lie,Screen Media Ventures
Analyze That,Warner Bros.
Wedding Daze,MGM
Crimes and Misdemeanors,Orion Pictures Corporation
Bloodsucking Bastards,Shout Factory
Butter,Weinstein Company
Shopgirl,Touchstone Pictures
Not One Less,Sony Classics
Fools Rush In,Sony Pictures Home Entertainment
Advanced Style,BOND/360
No Small Affair,Sony Pictures Home Entertainment
Diary of a Wimpy Kid,20th Century Fox
The Winner,Norstar Entertainment
The Accidental Husband,Yari Film Group
I Got The Hook-Up,Priority Films
Sex and the City,Warner Bros. Pictures
Unleashed,Level 33 Entertainment
Win a Date With Tad Hamilton!,Dreamworks Distribution LLC
Home Again,Open Road Films
Wiener-Dog,Annapurna Pictures
That's What I Am,Samuel Goldwyn Films
Kicking & Screaming,Universal Pictures
Midnight in Paris,Sony Pictures Classics
Can't Buy Me Love,Buena Vista Pictures
Hello I Must Be Going,Oscilloscope Pictures
Sister Act,Buena Vista
Appropriate Behavior,Gravitas Ventures
Swing Vote,Touchstone Pictures/Treehouse Films
Ed,MCA Universal Home Video
The Wash,Lions Gate Films
R100,Drafthouse Films
The To Do List,CBS Films
Intermission,IFC Films
Slam Dunk Ernest,Emshell Producers
Guess Who,Sony Pictures
Pay 2 Play: Democracy's High Stakes,Shoot First Inc
Win It All,Netflix
The Incredible Burt Wonderstone,Warner Bros. Pictures
Ghost,Paramount Pictures
National Lampoon's Pledge This!,Freestyle Releasing
Let's Go to Prison,Universal Pictures
Stir Crazy,Columbia Pictures
Over Her Dead Body,New Line Cinema
A Life Less Ordinary,Twentieth Century Fox Home Entertainment
It's Kind of a Funny Story,Focus Features
Cry-Baby,Universal Pictures
Smart People,Miramax Films
The Wedding Singer,New Line Cinema
My Best Friend's Wedding,Sony Pictures Entertainment
What Just Happened?,Magnolia Pictures
Idle Hands,Columbia Pictures
Somewhere,Focus Features
Pirate Radio (The Boat That Rocked),Focus Features
The Joneses,Roadside Attractions
Grown Ups 2,Sony Pictures
Ace Ventura - When Nature Calls,Warner Home Video
Major League: Back to the Minors,Warner Home Video
It's a Disaster,Oscilloscope Laboratories
Hearts Of The West (Hollywood Cowboy),MGM
The Fluffy Movie,Open Road Films
Life with Mikey,Buena Vista
Shriek If You Know What I Did Last Friday the 13th,Trimark
Critical Care,Live Home Video
*batteries not included,Universal Pictures
A Birder's Guide To Everything,Screen Media Ventures/Focus Features
American Pie 2,Universal Pictures
Walking and Talking,Miramax
The Madwoman of Chaillot,WARNER BROTHERS PICTURES
Stuart Saves His Family,Paramount Home Video
Serious Moonlight,Magnolia Pictures
Heartbreakers,MGM
Addicted to Love,Warner Home Video
Salmon Fishing in the Yemen,CBS Films
Hairspray,New Line Cinema
Some Girls,MGM Home Entertainment
Stay Hungry,MGM
Break Point,Broad Green Pictures
Meet Me In Montenegro,The Orchard
The World According to Garp,Warner Home Video
Austin Powers: The Spy Who Shagged Me,New Line Cinema
Greenfingers,IDP Distribution
Straight Jacket,Regent Releasing
Sisters,Universal Pictures
Guy X,Movision
The Second Best Exotic Marigold Hotel,20th Century Fox
Flashback,Paramount
Chalk,Arts Alliance
Dead Man's Curve,Trimark
That's What She Said,Phase 4 Films
Big Trouble,Touchstone Pictures
The Holiday,Sony Pictures
Man's Favorite Sport?,MCA Universal Home Video
Desperate Acts Of Magic,Independent Pictures
She's So Lovely,Miramax
Diamonds,Miramax
Unlovable,Orion Classics
Brigsby Bear,Sony Pictures Classics
Under the Tuscan Sun,Buena Vista Pictures
Lowlife,IFC Films
Waking Up in Reno,Miramax Films
The Magic of Belle Isle,Magnolia Pictures
Why Did I Get Married?,Lionsgate Films
The Babysitters,Peace Arch Entertainment
Victor Victoria,MGM Home Entertainment
Heathers,New World Video
Walk Hard: The Dewey Cox Story,Sony Pictures/Columbia
Violet Tendencies,Embrem Entertainment
Swingers,Miramax Films
Hoot,New Line Cinema
Mr. Wonderful,Warner Home Video
The Frisco Kid,Warner Home Video
Private Parts,Paramount Pictures
I Love You Beth Cooper,20th Century Fox
Ali G Indahouse,Universal Pictures
Pretty in Pink,Paramount Pictures
Ed Wood,Buena Vista Pictures
Mortal Thoughts,Sony Pictures Home Entertainment
Switching Goals,Warner Home Video
Beginners,Focus Features
Black Coffee,RLJ Entertainment
Diary of a Wimpy Kid: Dog Days,20th Century Fox
House Party 2,New Line Home Entertainment
The Comedian,Sony Pictures Classics
Undercover Brother,Universal Pictures
Entanglement,Dark Star Pictures
Dial A Prayer,Vertical Entertainment
Sony Pictures Home Entertainment,98
Father of Invention,Anchor Bay Films
Quartet,The Weinstein Co.
Moving McAllister,First Independent Pictures
Boomerang,Paramount Pictures
Gordy,Miramax
The Big Wedding,Lionsgate Films
Drillbit Taylor,Paramount Pictures
Up in the Air,Paramount Pictures
Still Smokin',Paramount Pictures
Divine Secrets of the Ya-Ya Sisterhood,Warner Bros. Pictures
Beeswax,Cinema Guild
10 Rules For Sleeping Around,Screen Media Films
Finishing the Game,IFC First Take
Being John Malkovich,Gramercy Pictures
Meet the Parents,Universal Pictures
Better Living Through Chemistry,IDP/Samuel goldwyn Films
The Evening Star,Paramount Home Video
The FP,Drafthouse Films
Smashed,Sony Pictures Classics
Police Academy 4 - Citizens on Patrol,Warner Home Video
At First Light,Gravitas Ventures
Mad Dog and Glory,MCA Universal Home Video
Mr. Deeds,Columbia Pictures
The Last 5 Years,Radius-TWC
The New Age,Warner Bros. Pictures
Wildcats,WARNER BROTHERS PICTURES
Doc Hollywood,Warner Home Video
You Won't Miss Me,Factory 25
Girl Flu.,Free Chicken Films
Muppet Treasure Island,Buena Vista
"Dude, Where's My Car?",20th Century Fox
Just Write,BMG
Breakin' All the Rules,Screen Gems
A Coffee in Berlin,Music Box Films
Outside Providence,Miramax
Ghost Town,DreamWorks/Paramount Distribution
The Rewrite,RLJE/Image Entertainment
CSA: The Confederate States of America,IFC Films
The Tempest,Touchstone Pictures/Miramax Films
Mo' Money,Sony Pictures Home Entertainment
Life of the Party,New Line Cinema
The Stupids,New Line Home Entertainment
The Dilemma,Universal Pictures
Blank Check,Buena Vista
Clerks II,MGM
Little Secrets,Leucadia Film Corporation
Tomcats,Columbia Pictures
The Wilde Wedding,Vertical Entertainment
As Good as It Gets,TriStar Pictures
Still Crazy,Sony Pictures Entertainment
Gone Fishin',Hollywood Pictures
Frankenhooker,Shapiro Glickenhaus
The Whole Nine Yards,Warner Home Video
Bewitched,Columbia Pictures
Zoolander,Paramount Pictures
Baby on Board,Angry Monkey Entertainment
A Night at the Roxbury,Paramount Pictures
You're Next,Lionsgate
Creator,HBO Video
Cooties,Lionsgate Premiere
Eagle vs Shark,Miramax Films
Mannequin 2: On the Move,Live Home Video
Jawbreaker,Columbia TriStar
Fun Size,Paramount Pictures
Max Keeble's Big Move,Buena Vista Pictures
It Takes Two,Warner Home Video
Ibiza,Netflix
Jackass 3.5,Paramount Digital Entertainment
The Single Moms Club,Lionsgate Films
P.S. I Love You,Warner Bros. Pictures
Downsizing,Paramount Pictures
Susan Slept Here,RKO Radio Pictures
Father of the Bride: Part II,Disney
Diminished Capacity,IFC First Take
All Over the Guy,Lions Gate Films
Starlet,Music Box Films
Just Go with It,Sony Pictures
Bowfinger,Universal Studios
Los Paranoicos (The Paranoids),Oscilloscope Pictures
Late for Dinner,Sony Pictures Home Entertainment
Three Men and a Baby (3 Men and a Baby),Disney
Observe and Report,Warner Bros. Pictures
Guidance,Strand Releasing
Landline,Amazon Studios
The Scenesters,Monterey Media
The Wedding Ringer,Sony Screen Gems
Naked,Netflix
I Married a Witch,Vestron Video
Almost Friends,Let It Play
The Man Who Wasn't There,USA Films
Basmati Blues,Shout! Factory
Coming Soon,Unapix Entertainment
Saving Silverman,Columbia Pictures
He's Way More Famous Than You,Gravitas Ventures
A Lot Like Love,Touchstone Pictures
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,20th Century Fox
Tristram Shandy: A Cock & Bull Story,Picturehouse
They Live,MCA/Universal Pictures
Nothing to Lose,Touchstone Pictures
Orgazmo,October Films
Wild Things,Sony Pictures Home Entertainment
Harry and Walter Go to New York,Columbia Pictures
Weirdsville,Magnolia Pictures
Helter Skelter,Lorimar Productions
My One and Only,Freestyle Releasing
Dave,Warner Bros.
Gremlins,Warner Bros. Pictures
28 Days,Columbia Pictures
Radio Days,MGM
Catfight,Dark Sky Films
Finding Amanda,Mitropoulos Films
The Dish,Warner Bros. Pictures
Bus Stop,20th Century Fox Film Corporation
Sunset Park,Sony Pictures Home Entertainment
Pootie Tang,Paramount Pictures
"Mystery, Alaska",Buena Vista
Man of the Year,Universal Pictures
Rules Don't Apply,20th Century Fox
Meet Bill,First Look
Book Club,Paramount Pictures
Dumb and Dumberer: When Harry Met Lloyd,New Line Cinema
Troll 2,MGM
Lookin' to Get Out,Paramount Pictures
The Little Rascals,MCA Universal Home Video
Secondhand Lions,New Line Cinema
Chimes at Midnight,Internacional Films
Sparkle,Revolver Entertainment
Crash Pad,Vertical Entertainment and Sony Pictures Worldwide
Hollywood Dreams,Rainbow
The Happy Poet,Cinema Libre
The Lobster,A24 Films
The Layover,Vertical Entertainment
From Justin To Kelly,20th Century Fox
Arizona,RLJ Entertainment
Smoke,Miramax
National Lampoon's Loaded Weapon 1,Sony Pictures Home Entertainment
Bad Santa 2,Miramax/Broad Green
Grandma,Sony Pictures Classics
Paul Williams Still Alive,Abramorama
30 Beats,Roadside Attractions
My Last Five Girlfriends,Willing Pilowsky Productions
Like Father,Netflix
Hope Floats,Twentieth Century Fox Home Entertainment
I'm Not Rappaport,Universal Pictures
Wilson,Fox Searchlight
Fandango,Warner Home Video
Faithful,New Line Home Entertainment
The Adventures of Elmo in Grouchland,Columbia Pictures
Wayne's World,Paramount Pictures
Run Robot Run!,Pathfinder Home Entertainment
Tortilla Soup,Samuel Goldwyn Films
Finding Forrester,Columbia Pictures
What Happens in Vegas,20th Century Fox
The Efficiency Expert,Miramax
Baby Boom,MGM Home Entertainment
Ruthless People,Buena Vista Pictures
Liar Liar,Universal Pictures
Chooch,Artistic License
See You Next Tuesday,Devolver Digital
Babe: Pig in the City,Universal Studios
Nappily Ever After,Netflix
Nobody Else But You,First Run Features
For Your Consideration,Warner Independent Pictures
Everybody Loves Somebody,Pantelion Films
Billy Elliot,NCM Fathom
Words And Pictures,Roadside Attractions
Green Card,Touchstone Pictures
"Sex, Drugs, Rock & Roll",LionsGate Entertainment
Norman,Independent Pictures
Wimbledon,Universal Pictures
School of Rock,Paramount Pictures
No Manches Frida,Constantin Film Produktion
The Naked Gun: From the Files of Police Squad!,Paramount Pictures
Edge of Seventeen,Strand Releasing
Hell Baby,Millenium Entertainment
Monty Python's And Now for Something Completely Different,Sony Pictures
Vicky Cristina Barcelona,The Weinstein Co.
Eddie Murphy Raw,Paramount Pictures
Camp,IFC Films
Clerks,Miramax Films
All I Want (Try Seventeen),Sony Pictures Home Entertainment
Shirin In Love,Sideshow Releasing
Confessions of a Teenage Drama Queen,Touchstone Pictures
Ready to Wear (Prt--Porter),Miramax
The Angels' Share,IFC Films
The Freshman,Sony Pictures Home Entertainment
To Die For,Columbia Pictures
Stella's Last Weekend,Paladin
Shrink,Roadside Attractions
A Farewell to Fools,Monterey Media
Good Luck Chuck,Lionsgate Films
Being Julia,Sony Pictures Classics
The Polka King,Netflix
Maps to the Stars,Focus Features
Crimes of the Heart,De Laurentiis Entertainment Group (DEG)
The Kissing Booth,Netflix
Look Who's Talking,TriStar Pictures
The Perfect Match,Jorva Entertainment Productions
Warm Bodies,Lionsgate Films
Spun,Newmarket Films
You May Not Kiss the Bride,Freestyle Releasing
The Jane Austen Book Club,Sony Pictures Classics
Why Him?,20th Century Fox
Beethoven,Universal Pictures
Trading Places,Paramount Pictures
Gross Anatomy,Touchstone Pictures
Morning Glory,Paramount Studios
Jack and Jill vs. the World,First Look
Whiteboyz,Fox
Once Upon a Crime,MGM
Enchanted April,Miramax
Ladies in Lavender,IDP
Return to Me,MGM Distribution
Broken Flowers,Focus Features
Used People,Twentieth Century Fox Home Entertainment
Hall Pass,Warner Bros. Pictures
Flawless,MGM
First Sunday,Sony Pictures Entertainment
Today's Special,Inimitable Pictures
Soul Plane,MGM
Diary of a Wimpy Kid 2: Rodrick Rules,20th Century Fox
Sexy Beast,20th Century Fox
The Nativity Story,New Line Cinema
Charlie Wilson's War,Universal Pictures
Freaky Friday,Disney
Patch Adams,Universal Studios
Ordinary World,Let It Play
Driving Lessons,Sony Pictures Classics
The Clapper,Momentum Pictures
White Bird in a Blizzard,Magnolia Pictures
Georgia Rule,Universal Pictures
Esto es un Robo,Neverland Films
My Boyfriend's Back,Buena Vista
A Bag of Hammers,MPI Media Group
Old School,DreamWorks SKG
The Original Kings of Comedy,Paramount Pictures
"Literally, Right Before Aaron",Screen Media Films
The Honeymooners,Paramount Pictures
Joe Somebody,20th Century Fox
Taking Woodstock,Focus Features
Beaches,Disney
Big Wednesday,Warner Home Video
Why Stop Now?,IFC Films
The Cat's Meow,Lions Gate Films Releasing
Bad Words,Focus Features
SLC Punk,Sony Pictures Home Entertainment
Mad Money,Overture Films
The Face of Love,IFC Films
Ghost World,United Artists
Mamma Mia!,Universal Pictures
Leprechaun,Trimark
The Chateau,IFC Films
What We Do In The Shadows,Paladin Pictures
Joshy,American Zoetrope Entertainment
Hollywood to Dollywood,Lammle and Bloodrush Films
Bol Bachchan,FIP
William Shakespeare's 'A Midsummer Night's Dream',20th Century Fox
Tuya's Marriage,Music Box Films
A Smile like Yours,Paramount Home Video
Friends & Lovers,LionsGate Entertainment
Anchorman - The Legend Of Ron Burgundy,Dreamworks
Love & Friendship,Roadside Attractions
Johnny Be Good,Orion Home Video
Living in Oblivion,Sony Pictures Home Entertainment
Bio-Dome,MGM/United Artists
Hi-Life,Sterling Entertainment
Kill Your Friends,Altitude Film Entertainment
The Duke Of Burgundy,IFC Films
America's Sweethearts,Columbia Pictures
