movie,screenwriter,year
A Good Year,Marc Klein,2006
The Beastmaster,Paul Pepperman,1982
The Bank Job,Dick Clement,2008
War of the Worlds: Goliath,David Abramowitz,2014
Another Gay Sequel: Gays Gone Wild!,Todd Stephens,2008
Slappy and the Stinkers,Bob Wolterstorff,1997
The Quiet Man,Frank S. Nugent,1952
Moonrise Kingdom,Wes Anderson,2012
Etz Limon (Lemon Tree),Suha Arraf,2009
Stagecoach,Ben Hecht,1939
From Dusk Till Dawn,Quentin Tarantino,1996
Sleeping Dogs Lie,Bobcat Goldthwait,2006
The Machinist,Scott Kosar,2004
The Sons of Katie Elder,Allan Weiss,1965
Dracula - Dead and Loving It,Rudy De Luca,1995
Bend It like Beckham,Guljit Bindra,2003
The Purge,James DeMonaco,2013
The 11th Hour,Nadia Conners,2007
Truth About Love,Peter Bloore,2005
Sukiyaki Western Django,Takashi Miike,2008
Special ID,Szeto Kam Yuen,2014
Eye for an Eye,Rick Jaffa,1996
Natural Resistance,Jonathan Nossiter,2015
Leaves of Grass,Tim Blake Nelson,2010
Pirates of the Caribbean: On Stranger Tides,Terry Rossio,2011
A Walk In The Woods,William Holderman,2015
Twelve Thirty,Jeff Lipsky,2011
The Twilight Saga: New Moon,Melissa Rosenberg,2009
The Wonderful Ice Cream Suit,Ray Bradbury,1998
Nell,Mark Handley,1994
Turbo,David Soren,2013
Sympathy for Mr. Vengeance,Chan-wook Park,2002
Splinter,Michael D. Olmos,2006
Rebel Without a Cause,Stewart Stern,1955
I.O.U.S.A.,Patrick Creadon,2008
Wedding Crashers,Bob Fisher,2005
Bitter Harvest,George Mendeluk,2017
Killing Me Softly,Kara Lindstrom,2003
Aftermath,Javier Gulln,2017
Batman v Superman: Dawn of Justice,David S. Goyer,2016
Valentine's Day,Katherine Fugate,2010
Cars,John Lasseter,2006
Raw Deal,Gary M. Devore,1986
De Helaasheid der Dingen (The Misfortunates),Christophe Dirickx,2010
Dirty Rotten Scoundrels,Stanley Shapiro,1988
Whose Life Is It Anyway?,Reginald Rose,1981
Telling Lies in America,Joe Eszterhas,1997
Tucker: The Man and His Dream,David Seidler,1988
Red Dawn,Kevin Reynolds,2012
With Honors,William Mastrosimone,1994
For Me and My Gal,Fred F. Finklehoffe,1942
Atlas Shrugged: Part II,Duke Sandefur,2012
Circus,David Logan,2000
Enduring Love,Joe Penhall,2004
The Deep,Jn Atli Jnason,2013
The Errand Boy,Bill Richmond,1961
The Eye,Sebastian Gutierrez,2008
Manhattan Murder Mystery,Marshall Brickman,1993
Miss March,Trevor Moore,2009
Saturday Night Fever,Norman Wexler,1977
Escaflowne: The Movie,Kazuki Sekine,2000
Mavis!,Jessica Edwards,2016
Mountains of the Moon,Bob Rafelson,1990
2 Days in New York,Julie Delpy,2012
The Razor's Edge,Lamar Trotti,1946
These Amazing Shadows,Kurt Norton,2011
Gori Tere Pyaar Mein,Punit Malhotra,2013
Gone,Andrew Upton,2007
The Wind Will Carry Us,Abbas Kiarostami,2014
Preggoland,Sonja Bennett,2015
Othello,Oliver Parker,1995
The Cleanse,Bobby Miller,2018
The Great Race,Arthur A. Ross,1965
The Mighty Quinn,Hampton Fancher,1989
Swimming Pool,Emmanule Bernheim,2003
Anchorman - The Legend Of Ron Burgundy,Will Ferrell,2004
Kinky Boots,Tim Frith,2006
One Missed Call,Andrew Klavan,2008
The Ghost and the Darkness,William Goldman,1996
I Want Your Money,Randall Norman DeSoto,2010
Phantom Of The Opera,Elliott J. Clawson,1925
The Quiet Ones,John Pogue,2014
Niagara,Walter Reisch,1953
Mighty Joe Young,Mark Rosenthal,1998
Screamers,Miguel Tejada-Flores,1996
Blade,David S. Goyer,1998
Mad to Be Normal,Robert Mullan,2018
Mesrine: Killer Instinct (L'instinct de mort),Jean-Franois Richet,2010
Serbis (Service),Armando Lao,2008
The Emperor and the Assassin (Jing Ke ci Qin Wang),Wang Peigong,1998
Mr. Jones,Michael Cristofer,1993
The Intouchables,Olivier Nakache,2012
Tangerine,Sean Baker (II),2015
Open Grave,Chris Borey,2014
Saboteur,Peter Viertel,1942
We Are the Best!,Lukas Moodysson,2014
Sparkle,Mara Brock Akil,2012
The Canterville Ghost,Edwin Blum,1944
Piranha 3-D,Alexandre Aja,2010
I'll Sleep When I'm Dead,Trevor Preston,2004
The Sorcerers,Tom Baker,1967
The Score,Kario Salem,2001
Zero Dark Thirty,Mark Boal,2013
The Birth of a Nation,D.W. Griffith,1915
Casino Jack,Norman Snider,2010
Terminator 2: Judgment Day,James Cameron,1991
Wildling,Florian Eder,2018
King Kong,Fran Walsh,2005
The Hollywood Knights,Floyd Mutrux,1980
The Last of Sheila,Anthony Perkins,1973
The Sheltering Sky,Bernardo Bertolucci,1990
Dear Dictator,Lisa Addario,2018
The Sitter,Alessandro Tanaka,2011
Cooley High,Eric Monte,1975
The Trip,Miles Swain,2003
10,Blake Edwards,1979
Citizen Verdict,Tony [wr] Clarke,2005
Ant-Man and the Wasp,Andrew Barrer,2018
Super Dark Times,Luke Piotrowski,2017
D.A.R.Y.L.,David Ambrose,1985
Landline,Elisabeth Holm,2017
The Lovers And The Despot,Ross Adam,2016
Tikkun,Avishai Sivan,2016
"See No Evil, Hear No Evil",Gene Wilder,1989
A Scanner Darkly,Richard Linklater,2006
The Last Exorcism,Huck Botko,2010
Elizabeth: The Golden Age,Michael Hirst,2007
All Relative,J.C. Khoury,2014
Operation: Endgame,Brian Watanabe,2010
