movie,screenwriter,year
April and the Extraordinary World (Avril et le monde truqu),Franck Ekinci,2016
Avenging Angel,Joseph Michael Cala,1985
American Dreamz,Paul Weitz,2006
Wild Strawberries,Ingmar Bergman,1957
Dad,Gary David Goldberg,1989
Short Circuit,Brent Maddock,1986
Crips and Bloods: Made in America,Stacy Peralta,2008
The Whole Ten Yards,Mitchell Kapner,2003
Serbis (Service),Boots Agbayani Pastor,2008
A Fistful of Dollars (Per un Pugno di Dollari),Jaime Comas Gil,1964
Long Weekend,Everett De Roche,1979
Ernest Rides Again,John Cherry,1993
The Outsider,Nicholas Jarecki,2006
Boy Wonder,Michael Morrissey,2011
City for Conquest,John Wexley,1940
The Hills Have Eyes,Alexandre Aja,2006
Broken Arrow,Graham Yost,1996
Solitude,Susan Kraker,2002
Broken Lance,Richard Murphy,1954
"What's Up, Doc?",Buck Henry,1972
Rigor Mortis,Jill Leung,2014
Transporter 3,Robert Mark Kamen,2008
The Cured,David Freyne,2018
Vamp,Richard Wenk,1986
Walking Out,Alex Smith,2017
Diabolique (Les Diaboliques),Henri-Georges Clouzot,1955
China Heavyweight,Yung Chang,2012
Chelsea on the Rocks,David Linter,2009
Northfork,Michael Polish,2003
The Texas Chainsaw Massacre,Scott Kosar,2003
Summer Love (Dead Man's Bounty),Piotr Uklanski,2007
I Think I Love My Wife,Eric Rohmer,2007
The Song,Richard Ramsey,2014
Easter Parade,Frances Goodrich,1948
Hide,Greg Rosati,2008
Film Geek,James Westby,2005
Pit and the Pendulum (The Pit and the Pendulum),Richard Matheson,1961
I Will Follow,Ava DuVernay,2011
"Yours, Mine & Ours",David Kidd,2005
Beverly Hills Ninja,Mark Feldberg,1997
Rockers,Ted Bafaloukos,1980
Home,Jono Oliver,2013
Punch,Guy Bennett,2002
Stir of Echoes,David Koepp,1999
The Angry Red Planet,Sidney Pink,1959
Battle Royale II,Norio Kida,2003
The Road,Yam Laranas,2012
It Had to Be You,Sasha Gordon,2016
CBGB,Randall Miller,2013
ATL,Tina Gordon Chism,2006
Dead Ringer,Albert Beich,1964
The Decent One,Vanessa Lapa,2014
The Incredible Shrinking Man,Richard Alan Simmons,1957
Neds,Peter Mullan,2011
Excuse Me for Living,Ric Klass,2012
Diane,Michael Mongillo,2018
JSA: Joint Security Area (Gongdong gyeongbi guyeok JSA),Seong-san Jeong,2000
48 HRS,Larry Gross,1982
X2: X-Men United,Daniel Harris,2003
The World Before Her,Nisha Pahuja,2013
Austenland,Shannon Hale,2013
Murder!,Alfred Hitchcock,1930
In the Good Old Summertime,Frances Goodrich,1949
Odd Man Out,F.L. Green,1947
2 Fast 2 Furious,Derek Haas,2003
Partition,Patricia Finn,2007
Dancer in the Dark,Lars von Trier,2000
Always Shine,Lawrence Michael Levine,2016
Shanghai Knights,Miles Millar,2003
Unlawful Entry,Lewis Colick,1992
'Round Midnight,Bertrand Tavernier,1986
Hardcore Henry,Ilya Naishuller,2016
Uncle Nick,Mike Demski,2015
Never Cry Wolf,Richard Kletter,1983
Escape Plan 2: Hades,Miles Chapman,2018
Godzilla,Dean Devlin,1998
The War,Kathy McWorter,1994
K-PAX,Charles Leavitt,2001
The Thing,Ronald D. Moore,2011
The Yearling,Paul Osborn,1946
The Tower,Heo Jun-Seok,2012
Law Abiding Citizen,Frank Darabont,2009
Preservation,Christopher Denham,2015
Full Metal Jacket,Gustav Hasford,1987
Robinson Crusoe on Mars,Ib Melchior,1964
Hiroshima Mon Amour,Marguerite Duras,1960
Love And Honor,Jim Burnstein,2013
The Glass Castle,Destin Daniel Cretton,2017
Tarantula,Robert M. Fresco,1955
A Shine of Rainbows,Catherine Spear,2010
L!fe Happens,Kat Coiro,2012
Wimbledon,Adam Brooks,2004
Cloak and Dagger,Tom Holland,1984
A Crooked Somebody,Andrew Zilch,2018
The Madwoman of Chaillot,Jean Giraudoux,1969
Blood Fest,Owen Egerton,2018
Halloween 4: The Return of Michael Myers,Alan B. McElroy,1988
The Girl Is In Trouble,Mayuran Tiruchelvam,2015
Poison Ivy II,Chloe King,1995
America's Sweethearts,Billy Crystal,2001
Maximum Overdrive,Stephen King,1986
The Duchess of Langeais (Ne Touchez Pas La Hache)(Don't Touch the Axe),Christine Laurent,2007
Stay Hungry,Charles Gaines,1976
LUV,Justin Wilson,2013
River's Edge,Neal Jimenez,1987
Kuffs,Bruce A. Evans,1992
The Penalty,Gouveneur Morris,1920
Predestination,Peter Spierig,2015
[REC] 3 Genesis,Paco Plaza,2012
The Exterminating Angel (El ngel Exterminador),Luis Buuel,1967
Role Models,Ken Marino,2008
Frances Ha,Greta Gerwig,2013
The Three Faces of Eve,Nunnally Johnson,1957
Playback,Michael A. Nickles,2012
Transformers: Revenge of the Fallen,Roberto Orci,2009
P2,Franck Khalfoun,2007
Hick,Andrea Portes,2012
Antonia (Antnia - O Filme),Roberto Moreira,2007
Raiders of the Lost Ark,Lawrence Kasdan,1981
The Philadelphia Experiment,Johnny Carpenter,1984
American Gangster,John Hawkes,2007
Airport,George Seaton,1970
"Run Silent, Run Deep",John Gay,1958
Thunderbolt and Lightfoot,Michael Cimino,1974
The Company of Wolves,Neil Jordan,1984
Righteous Kill,Russell Gewirtz,2008
A Bigger Splash,David Kajganich,2016
Romeo Must Die,Eric Bernt,2000
St Trinian's II: The Legend of Fritton's Gold,Piers Ashworth,2009
Cut,Mark Lamprell,2000
Anastasia,Arthur Laurents,1956
I Heart Huckabees,David O. Russell,2004
Gods Of Egypt,Matt Sazama,2016
The Accountant,Bill Dubuque,2016
Bustin' Down the Door,Monika Gosch,2008
Tim and Eric's Billion Dollar Movie,Doug Lussenhop,2012
A Great Day in Harlem,Matthew Seig,1995
The Strangers: Prey At Night,Bryan Bertino,2018
Brush With Danger,Livi Zheng,2014
Sucker Punch,Zack Snyder,2011
The Sea Hawk,Howard Koch,1940
White Fang 2: Myth of the White Wolf,David Fallon,1994
Partie de Campagne (A Day in the Country),Jean Renoir,1936
La Notte di San Lorenzo (Night of the Shooting Stars) (The Night of San Lorenzo),Giuliani G. De Negri,1982
Free Style,Jeffrey Nicholson,2009
The Young Girls of Rochefort (Les Demoiselles de Rochefort),Jacques Demy,1968
Goin' South,Al Ramrus,1978
Fantastic Voyage,Harry Kleiner,1966
Pinocchio,Ted Sears,1940
The Drowning,Frank Pugliese,2017
Love in the Afternoon,Billy Wilder,1957
Class of 1984,Tom Holland,1982
Dead of Night (Deathdream),Alan Ormsby,1974
Alamar (To the Sea),Pedro Gonzlez-Rubio,2010
The Convincer (Thin Ice),Jill Sprecher,2012
E.T. The Extra-Terrestrial,Melissa Mathison,1982
Lady in the Water,M. Night Shyamalan,2006
Little Voice,Mark Herman,1998
Jellyfish Eyes,Takashi Murakami,2015
Society,Rick Fry,1989
Starting Out in the Evening,Andrew Wagner,2007
Extraction,Max Adams,2015
Surrogates,Michael Ferris,2009
Guzaarish,Sanjay Leela Bhansali,2010
Someone Like You,Elizabeth Chandler,2001
American Virgin,Jean-Pierre Marois,2000
Mr. Woodcock,Michael Carnes,2007
Stitch! The Movie,Robert Gannaway,2003
Page One: Inside the New York Times,Kate Novack,2011
Man of Aran,Robert J. Flaherty,1934
A Necessary Death,Daniel Stamm,2008
"Duck, You Sucker (A Fistful of Dynamite) (Gi la testa)",Sergio Donati,1972
Marty,Paddy Chayefsky,1955
In the Land of Blood and Honey,Angelina Jolie,2011
The Pact II,Dallas Richard Hallam,2014
Highlander: Endgame,Joel Soisson,2000
Ushpizin,Amit Yasur,2005
Dheepan,Jacques Audiard,2016
The Animatrix,Lilly Wachowski,2003
Cube 2 - Hypercube,Ernie Barbarash,2003
The Brooklyn Brothers Beat The Best,Ryan O'Nan,2012
The Lazarus Effect,Luke Dawson,2015
Safety Last!,Hal Roach,1923
Johns,Scott Silver,1997
The Nightingale (Ye Ying - Le promeneur d'oiseau),Ning Ning,2015
Cherry Tree,Brendan McCarthy,2016
Isolation,Billy O'Brien (III),2006
The Rocking Horse Winner,Anthony Pelissier,1949
To Be Takei,Jennifer M. Kroot,2014
The Host,Bong Joon Ho,2007
Born To Be Blue,Robert Budreau,2016
The Mysteries of Pittsburgh,Rawson Marshall Thurber,2009
Circo,Aaron Schock,2011
I Wish,Hirokazu Koreeda,2012
Third Person,Paul Haggis,2014
Hugo,John Logan,2011
Antz,Chris Weitz,1998
Due Date,Alan Freedland,2010
Contempt,Jean-Luc Godard,1964
A Little Romance,Allan Burns,1979
The Dukes of Hazzard: The Beginning,Shane Morris,2007
Eternal Sunshine Of The Spotless Mind,Charlie Kaufman,2004
Broken Lance,Philip Yordan,1954
Tremors: A Cold Day in Hell,John Whelpley,2018
The Alamo,Leslie Bohem,2004
New York City Serenade,Frank Whaley,2007
Cloudy With a Chance of Meatballs,Christopher Miller,2009
Woyzeck,Werner Herzog,1979
Mr. Pip,Andrew Adamson,2014
Cabiria,Gabriele D'Annunzio,1914
Phoenix,Christian Petzold,2015
The Homesman,Kieran Fitzgerald,2014
Submarine,Richard Ayoade,2011
Of Men And War,Laurent Becue-Renard,2015
Pokemon 3: The Movie,John Touhey,2001
Digging For Fire,Jake Swanberg,2015
The Devil's Rock,Paul Finch,2012
Fast Food Nation,Richard Linklater,2006
Demetrius and the Gladiators,Philip Dunne,1954
Possessed,Ranald MacDougall,1947
Salome's Last Dance,Ken Russell,1987
The Wanderers,Rose Kaufman,1979
Tokyo Sonata (Tokyo Sonata),Kiyoshi Kurosawa,2009
POM Wonderful Presents: The Greatest Movie Ever Sold,Jeremy Chilnick,2011
The Family Fang,David Lindsay-Abaire,2016
The Perez Family,Robin Swicord,1995
Woman on Top,Vera Blasi,2000
A Nightmare on Elm Street 4: The Dream Master,Brian Helgeland,1988
The Hound of the Baskervilles,Peter Bryan,1959
The Outrageous Sophie Tucker,Susan Ecker,2015
The Adventures of Pluto Nash,Neil Cuthbert,2002
The Last Survivors (The Well),Jacob Forman,2014
Mr. Woodcock,Josh Gilbert,2007
Topper Returns,Gordon Douglas,1941
Fort McCoy,Kate Connor,2014
The Promise (Master of Crimson Armor) (Wu ji),Kaige Chen,2005
Not Forgotten,Tomas Romero,2009
It's Alive III: Island of the Alive,Larry Cohen,1987
Belle de Jour,Luis Buuel,1968
Summer of Sam,Victor Colicchio,1999
L'Avventura,Michelangelo Antonioni,1960
Mindhunters,Wayne Kramer,2005
A Late Quartet,Yaron Zilberman,2012
He Was a Quiet Man,Frank Cappello,2007
American Zombie,Grace  Lee,2007
A Girl And A Gun,Cathryne Czubek,2013
"Oh, God! Book II",Melissa Miller,1980
I Origins,Mike Cahill,2014
Special Treatment,Richard Debuisne,2011
Black Book,Gerard Soeteman,2007
The Bachelor and the Bobby-Soxer,Sidney Sheldon,1947
From Dusk Till Dawn 3: The Hangman's Daughter,lvaro Rodrguez,2000
EDtv,mile Gaudreault,1999
Cops And Robbersons,Bernie Somers,1994
Hudson Hawk,Robert Kraft,1991
Beer League,Artie Lange,2006
The Iron Giant,Tim McCanlies,1999
To the Arctic,Stephen Judson,2012
The 10th Victim (La Decima vittima) (The Tenth Victim),Ennio Flaiano,1965
Wet Hot American Summer,David Wain,2001
Sunshine,Israel Horovitz,2000
Breakup at a Wedding,Philip Quinaz,2013
Audrie & Daisy,Jon Shenk,2016
Babes in Toyland,Joe Rinaldi,1961
Badlands,Terrence Malick,1974
Bad Turn Worse,Dutch Southern,2014
The Namesake,Jhumpa Lahiri,2006
House of 1000 Corpses,Rob Zombie,2003
Me Myself I,Pip Karmel,2000
Saving Mr. Banks,Kelly Marcel,2013
The Isle,Kim Ki-duk,2000
The Unknown Girl (La fille inconnue),Jean-Pierre Dardenne,2017
Another Stakeout,Matthew Weisman,1993
Smoke,Paul Auster,1995
Crazy on the Outside,John Peaslee,2010
Get a Job,Kyle Pennekamp,2016
The Others,Alejandro Amenbar,2001
I Love You Beth Cooper,Larry Doyle,2009
Fat Girls,Ash Christian,2006
Space Station 76,Sam Pancake,2014
Happy Christmas,Joe Swanberg,2014
The Leopard,Suso Cecchi d'Amico,1963
The Hunting of the President,Nickolas Perry,2004
White House Down,James Vanderbilt,2013
Blue Collar,Leonard Schrader,1978
Demonlover,Olivier Assayas,2003
The Dish & The Spoon,Alison Bagnall,2012
Honey 2,Alyson Fouse,2011
The Pink Panther,Blake Edwards,1963
Total Recall,Gary Goldman,1990
The Limits of Control,Jim Jarmusch,2009
Gimme Shelter,Ron Krauss,2014
Fox and His Friends,Rainer Werner Fassbinder,1975
Scorched Earth,Kevin Leeson,2018
Night Watch,Tony Williamson,1973
Dogtooth (Kynodontas),Efthimis Filippou,2010
The Naked Man,Ethan Coen,1998
Iron Man,Mark Fergus,2008
William Shakespeare's 'A Midsummer Night's Dream',Michael Hoffman,1999
The U.S. vs. John Lennon,David Leaf,2006
My Life So Far,Simon Donald,1999
God Told Me To,Larry Cohen,1976
Ne le Dis  Personne (Tell No One),Guillaume Canet,2006
The Rich Man's Wife,Amy Holden Jones,1996
Sordid Lives,Del Shores,2000
Lake Tahoe,Paula Markovitch,2008
The Stray,Parker Davis,2017
Piglet's Big Movie,Brian Hohlfeld,2003
River of Grass,Kelly Reichardt,1995
Day Watch,Timur Bekmambetov,2007
Free Enterprise,Mark Altman,1999
Fred: The Movie,David A. Goodman,2010
The Bad News Bears in Breaking Training,Paul Brickman,1977
Omen III: The Final Conflict,Andrew Birkin,1981
Cannibal Holocaust,Gianfranco Clerici,1980
Bride of Re-Animator,Woody Keith,1990
The Sting II,Dean Riesner,1983
Intruders,Nicols Casariego,2012
Universal Soldier: The Return,Richard Rothstein,1999
Wild Grass (Les Herbes Folles),Alex Rval,2010
The Alphabet Killer,Tom Malloy (II),2008
Before Sunset,Richard Linklater,2004
Scary Movie 3,Pat Proft,2003
Lost Boys: The Thirst,Evan Charnov,2010
Love Is Strange,Ira Sachs,2014
47 Meters Down,Johannes Roberts,2017
Double Impact,Sheldon Lettich,1991
The Big Sick,Kumail Nanjiani,2017
Young Sherlock Holmes,Chris Columbus,1985
Outside the Law,Rob Gilmer,2001
Pixels,Tim Herlihy,2015
Malibu's Most Wanted,Adam Small,2003
Mr. Skeffington,Philip G. Epstein,1944
Carol Channing: Larger Than Life,Dori Berinstein,2012
Parker,John J. McLaughlin,2013
Johnny Handsome,Nicholas Meyer,1989
Housesitter,Brian Grazer,1992
The Happening,M. Night Shyamalan,2008
Mortdecai,Eric Aronson,2015
Halloween - The Curse of Michael Myers (Halloween 6),Daniel Farrands,1995
Year of the Dog,Tim Orr,2007
Sugar Hill,Barry Michael Cooper,1994
Pan's Labyrinth,Carmen Soriano,2006
Our Children,Thomas Bidegain,2013
The Messenger,Oren Moverman,2009
How I Live Now,Jeremy Brock,2013
Biker Boyz,Reggie Rock Bythewood,2003
Harold,Greg Fields,2008
Four Daughters,Lenore J. Coffee,1938
We Have a Pope,Federica Pontremoli,2012
The End of America,Naomi Wolf,2008
Happy Feet,John Collee,2006
Young Frankenstein,Gene Wilder,1974
Run & Jump,Ailbhe Keogan,2014
Jaffa,Keren Yedaya,2009
The Seven Year Itch,Billy Wilder,1955
Ironweed,Tom Benedek,1987
The Young Unknown,Catherine Jelski,2000
Love Me if You Dare,Jacky Cukier,2004
Jakob the Liar,Didier Decoin,1999
The Lord of the Rings,Chris Conkling,1978
The Relic,John Raffo,1997
La France,Axelle Ropert,2008
Mistress,J.F. Lawton,1991
The Wiz,Joel Schumacher,1978
Killer Joe,Tracy Letts,2012
Stuck Between Stations,Sam Rosen,2011
The Dark Crystal,David Odell,1982
American Reunion,Hayden Schlossberg,2012
The Broadway Melody,James Gleason,1929
Tortilla Heaven,Judy Hecht Dumontet,2007
Star Trek,Alex Kurtzman,2009
Welcome Home Roxy Carmichael,Karen Leigh Hopkins,1990
The Lego Batman Movie,Chris McKenna (II),2017
4 Minute Mile,Jeff Van Wie,2014
Alice in Wonderland,Bill Peet,1951
The Strange Case Of Angelica,Manoel de Oliveira,2010
Mrs. Palfrey at the Claremont,Ruth Sacks,2005
Mumia: Long Distance Revolutionary,Stephen Vittoria,2013
Coco Chanel & Igor Stravinsky,Carlo De Boutiny,2010
Riddick,David Twohy,2013
Everything is Illuminated,Liev Schreiber,2005
National Lampoon's Gold Diggers,Gary Preisler,2004
Kickboxer 2: The Road Back,David S. Goyer,1990
At Any Price,Ramin Bahrani,2013
[REC] 4: Apocalypse,Manu Daz,2015
Eye of the Dolphin,Michael D. Sellers,2007
Kickboxer: Retaliation,Dimitri Logothetis,2018
American Circumcision,Brendon Marotta,2018
Mannequin,Edward Rugoff,1987
Labor Day,Jason Reitman,2014
The Green Inferno,Eli Roth,2015
Bad Girls,Yolande Turner,1994
Camp Rock 2: The Final Jam,Karin Gist,2010
The Duellists,Gerald Vaughn-Hughes,1977
National Lampoon's Animal House,Chris Miller (III),1978
The Cutting Edge,Tony Gilroy,1992
The Tao of Steve,Greer Goodman,2000
Diary of a Wimpy Kid 2: Rodrick Rules,Gabe Sachs,2011
The Sapphires,Tony Briggs,2013
Watch on the Rhine,Dashiell Hammett,1943
The Door in the Floor,Tod Williams,2004
The Master of Disguise,Harris Goldberg,2002
The Last Of Robin Hood,Wash Westmoreland,2014
Arthur Newman,Becky Johnston,2013
Beneath The Harvest Sky,Gita Pullapilly,2014
Deliverance,James Dickey,1972
When The Game Stands Tall,Scott Marshall Smith,2014
Oblivion,Joseph Kosinski,2013
The Loved One,Christopher Isherwood,1965
Justin and the Knights of Valour,Matthew Jacobs,2013
Elles,Malgorzata Szumowska,2012
The Silence,Baran bo Odar,2013
Cantinflas,Sebastin del Amo,2014
The Sunshine Makers,Connie Littlefield,2017
Homeward Bound - The Incredible Journey,Linda Wolverton,1993
Mr. Nanny,Edward N. Rugoff,1993
Still of the Night,Robert Benton,1982
Kalifornia,Stephen Levy,1993
Candyman,Bernard Rose,1992
Rivers and Tides: Andy Goldsworthy Working With Time,Thomas Riedelsheimer,2002
The General,Buster Keaton,1927
Lilo & Stitch,Chris Sanders,2002
The Petrified Forest,Charles Kenyon,1936
Batman Beyond: Return of the Joker,Paul Dini,2000
The Poseidon Adventure,Stirling Silliphant,1972
Terminator Salvation,John Brancato,2009
The Inevitable Defeat of Mister & Pete,Michael Starrbury,2013
To Save a Life,Jim Britts,2010
Nostalgia (Nostalghia),Tonino Guerra,1984
Lower City (Cidade Baixa),Karim Anouz,2006
You Can't Take It With You,Robert Riskin,1938
Mimic,Guillermo del Toro,1997
Baby: Secret of the Lost Legend,Diana Hammond,1985
The Adventures of Elmo in Grouchland,Mitchell Kriegman,1999
The Kid,Audrey Wells,2000
"Bon Cop, Bad Cop",Leila Basen,2006
Greedy Lying Bastards,Craig Scott Rosebraugh,2013
The Most Hated Woman In America,Tommy O'Haver,2017
Icarus,Bryan Fogel,2017
Charlie St. Cloud,Lewis Colick,2010
Headhunters,Lars Gudmestad,2012
Monty Python and the Holy Grail,Graham Chapman,1975
Trollhunter,Hvard Johansen,2011
Free Style,Joshua Leibner,2009
All Over the Guy,Dan Bucatinsky,2001
Godzilla ,Hiroshi Kashiwabara,2000
Marathon: The Patriots Day Bombing,Ricki Stern,2016
Blackhat,Morgan Davis Foehl,2015
Madagascar: Escape 2 Africa,Eric Darnell,2008
Godzilla,Roland Emmerich,1998
Funeral in Berlin,Evan Jones,1966
The Wind That Shakes the Barley,Paul Laverty,2007
True Confessions,Joan Didion,1981
My Life as a Dog (Mitt Liv som Hund),Brasse Brnnstrm,1987
Atomic Blonde,Kurt Johnstad,2017
My Little Pony: The Movie,Meghan McCarthy,2017
The Warriors,Walter Hill,1979
Unlovable,Charlene deGuzman,2018
Music From Another Room,Charlie Peters,1997
Yom Yom,Amos Gitai,2001
Woman in the Dunes (Suna no Onna),Kobo Abe,1964
Kramer vs. Kramer,Robert Benton,1979
Brguminn (White Night Wedding),Baltasar Kormkur,2008
Bedlam,Mark Robson,1946
Kings of the Evening,Robert Page Jones,2010
Albert Nobbs,Glenn Close,2012
Winchester,Michael Spierig,2018
Batman v Superman: Dawn of Justice,Zack Snyder,2016
The Ice Harvest,Richard Russo,2005
"The Beast From 20,000 Fathoms",Lou Morheim,1953
Blackthorn,Miguel Barros,2011
Heartbreak Ridge,Jim Carabatsos,1986
National Lampoon's Pledge This!,Jason Jordan,2006
Citizen Kane,Herman J. Mankiewicz,1941
The Nice Guys,Anthony Bagarozzi,2016
Moms' Night Out,Jon Erwin,2014
Dinner with Friends,Donald Margulies,2001
Bound By Flesh,Leslie Zemeckis,2014
Carrie,Roberto Aguirre-Sacasa,2013
I Love You to Death,John Kostmayer,1990
Quest For Camelot,William Schifrin,1998
Babe: Pig in the City,Dick-King Smith,1998
The Woman,Lucky McKee,2011
Kolya,Zdenek Sverk,1997
14 Hours,John Paxton,1951
Tommy's Honour,Kevin Cook,2017
Woody Woodpecker,Alex Zamm,2017
I Do (Prte-moi ta main),Laurent Tirard,2006
The Campaign,Adam McKay,2012
My Week with Marilyn,Adrian Hodges,2011
The Silver Chalice,Lesser Samuels,1954
A Simple Life,Susan Chan,2012
Night at the Museum: Secret of the Tomb,David Guion,2014
The Clapper,Dito Montiel,2018
My Brother The Devil,Sally El Hosaini,2013
Goat,David Gordon Green,2016
The Slaughter Rule,Alex Smith,2002
The Tower,Kim Sang-don,2012
Cool It,Sarah Gibson,2010
Encino Man,Shawn Schepps,1992
Author: The JT LeRoy Story,Jeff Feuerzeig,2016
Rounders,David Levien,1998
Body Snatchers,Stuart Gordon,1993
Beverly Hills Cop,Daniel Petrie Jr.,1984
Snow Flower And The Secret Fan,Michael Ray,2011
The Next Best Thing,Tom Ropelewski,2000
The Lady In The Van,Alan Bennett,2015
Alone with Her,Eric Nicholas,2007
Mad Monster Party,Forrest J Ackerman,1967
Top Hat,Dwight Taylor,1935
My Blind Brother,Sophie Goodhart,2016
'Breaker' Morant,David Stevens,1980
Made of Honor,Adam Sztykiel,2008
Accidents Happen,Brian Carbee,2010
The Minus Man,Hampton Fancher,1999
Hard to Kill,Steven McKay,1990
A Film with Me in It,Mark Doherty,2008
CBGB,Jody Savin,2013
The Gift,Tom Epperson,2000
Harrison's Flowers,Elis Chouraqui,2002
Strange Wilderness,Peter Gaulke,2008
Drop Dead Fred,Carlos Davis,1991
Hitman: Agent 47,Skip Woods,2015
Fifty/Fifty (50-50),Dennis Shryack,1993
Gaudi Afternoon,James Myhre,2001
Bhutto,Johnny O'Hara,2010
The Cave,Tegan West,2005
In a Valley of Violence,Ti West,2016
The Adventures of Ichabod and Mr. Toad,Ted Sears,1949
Invincible,Werner Herzog,2002
Her Alibi,Charlie Peters,1989
"The Butcher, The Chef And The Swordsman",Ma Luoshan,2011
Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country),Anders stergaard,2008
Full Frontal,Coleman Hough,2002
Breathe,Julien Lambroschini,2015
The Future of Food,Deborah Koons Garcia,2005
Arranged,Yuta Silverman,2007
Priest,Scott Stewart,2011
Cast Away,William Broyles,2000
The Sting,Marvin Hamlisch,1973
The Long Goodbye,Leigh Brackett,1973
La Chiesa (The Church) (Cathedral of Demons),Franco Ferrini,1989
The Truth About Cats & Dogs,Audrey Wells,1996
Kiss The Girls,David Klass,1997
The Water Horse: Legend of the Deep,Robert Nelson Jacobs,2007
The Wedding Ringer,Jay Lavender,2015
Treasure Planet,Alex Mann,2002
War for the Planet of the Apes,Matt Reeves,2017
Cop Car,Christopher Ford,2015
The Man Without a Face,Isabelle Holland,1993
Lorna's Silence,Luc Dardenne,2008
Edipo re (Oedipus Rex),Pier Paolo Pasolini,1967
The Madwoman of Chaillot,Edward Anhalt,1969
The Color Purple,Menno Meyjes,1985
Justice League: War,Heath Corson,2014
Lost in La Mancha,Louis Pepe,2003
Yella,Christian Petzold,2008
South Pacific,Paul Osborn,1958
Little Children,Todd Field,2006
The Breakfast Club,John Hughes,1985
Eat Pray Love,Jennifer Salt,2010
Unfaithful,Alvin Sargent,2002
The Heart Is Deceitful Above All Things,Asia Argento,2004
Sunset Edge,Daniel Peddle,2015
Operation Condor (Fei ying gai wak) (Armour of God II),Jackie Chan,1991
For Your Consideration,Eugene Levy,2006
White Fang,Jeanne Rosenberg,1991
Beach Blanket Bingo,Leo Townsend,1965
Stranger by the Lake,Julie Darfeuil,2014
"Gandhi, My Father",Feroz Abbas Khan,2007
The Celluloid Closet,Sharon Wood,1996
Doctor Strange,Joshua Oppenheimer,2016
A La Mala,Ari Rosen,2015
GMO OMG,Jeremy Seifert,2013
The Bunker,Clive Dawson,2004
Ashby,Tony McNamara,2015
Kassim the Dream,Kief Davidson,2009
Professione: reporter (The Passenger),Mark Peploe,1975
Nativity!,Debbie Isitt,2009
Shadow of a Doubt,Alma Reville,1943
Google Me,Jeanie Roshar,2007
Blown Away,Joe Batteer,1994
The Fall,Dan Gilroy,2006
The Women,Jane Murfin,1939
Elizabeth: The Golden Age,William Nicholson,2007
Parenthood,Babaloo Mandel,1989
Police Academy 6 - City Under Siege,Stephen J. Curwick,1989
Dodgeball - A True Underdog Story,Rawson Marshall Thurber,2004
Addicted To Fame,David Giancola,2012
Annapolis,Dave Collard,2006
Blue Steel,Eric Red,1990
The Man from Planet X,Aubrey Wisberg,1951
Natural Selection,Robbie Pickering,2012
Licence To Kill,Michael G. Wilson,1989
Truth,James Vanderbilt,2015
Radio Free Albemuth,John Alan Simon,2014
Sweet Smell of Success,Clifford Odets,1957
88 Minutes,Gary Scott Thompson,2008
Sabotage,Skip Woods,2014
The Russia House,Tom Stoppard,1990
Exam,Stuart Hazeldine,2008
Guys and Dolls,Frank L. Mankiewicz,1955
Viola,Matas Pieiro,2013
This Gun for Hire,Albert Maltz,1942
Think Like a Man Too,Keith Merryman,2014
The Grudge,Stephen Susco,2004
Vera Cruz,James R. Webb,1954
Pirates of the Caribbean: The Curse of the Black Pearl,Ted Elliott,2003
Megan Leavey,Pamela Gray,2017
Hope Springs Eternal,Stephanie Mickus,2018
Arlington Road,Ehren Kruger,1999
Twins,William Davies,1988
Simon,Marshall Brickman,1980
Metroland,Adrian Hodges,1999
Beetle Queen Conquers Tokyo,Jessica Oreck,2009
The Bag Man,David Grovic,2014
Freddy's Dead: The Final Nightmare,Michael De Luca,1991
The Stunt Man,Richard Rush,1980
Lord Byron,Zack Godshall,2011
Stepmom,Gigi Levangie Grazer,1998
A View to a Kill,Michael G. Wilson,1985
Picture Day,Kate Melville,2012
Puncture,Chris Lopata,2011
Cujo,Don Carlos Dunaway,1983
They Drive by Night,Richard Macaulay,1940
Le Joli Mai,Pierre Lhomme,1963
Witness for the Prosecution,Billy Wilder,1957
The Front,Walter Bernstein,1976
Aloft,Claudia Llosa,2015
"After Dark, My Sweet",Robert Redlin,1990
The Thorn in the Heart,Michel Gondry,2010
Nanking,William Guttentag,2007
Unconditional Love,Jocelyn Moorhouse,2002
The Rapture,Michael Tolkin,1991
The Other Side of Heaven,Mitch Davis,2001
Welcome to Me,Eliot Laurence,2015
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Robert H. Lieberman,2014
Toolbox Murders,Jace Anderson,2004
"Crouching Tiger, Hidden Dragon",Hui Ling Wang,2001
Desert Saints,Wally Nichols,2002
Riding Giants,Stacy Peralta,2004
Rock Dog,Kurt Voelker,2017
W.,Stanley G. Weiser,2008
Tower Heist,Jeff Nathanson,2011
Black Coffee,Mark Harris,2014
Stay Hungry,Bob Rafelson,1976
My First Wedding,Joan Carr-Wiggin,2006
Bel Ami,Rachel Bennette,2012
I'm So Excited!,Pedro Almodvar,2013
Identity,Michael Cooney,2003
The Trip To Italy,Michael Winterbottom,2014
Popstar: Never Stop Never Stopping,Akiva Schaffer,2016
Love Jones,Theodore Witcher,1997
"Small, Beautifully Moving Parts",Lisa Robinson,2012
Untamed Heart,Tom Sierchio,1993
Fair Game,John-Henry Butterworth,2010
